City,Name,Michelin_Award,Main_Menu,Google_Category,Avg_Price_EUR,Maps_Url
Barcelona,Ca l'Isidre,,,Restaurant,80,https://www.google.com/maps/search/?api=1&query=Ca%20l%27Isidre%2C%20Carrer%20de%20les%20Flors%2012%2C%20Barcelona%2C%2008001%2C%20Spain
Barcelona,Carnal Steak House,,,Steak house,70,https://www.google.com/maps/search/?api=1&query=Carnal%20Steak%20House%2C%20Carrer%20d%27Enric%20Granados%2052%2C%20Barcelona%2C%2008008%2C%20Spain
Barcelona,Coure,,,Mediterranean restaurant,50,https://www.google.com/maps/search/?api=1&query=Coure%2C%20Passatge%20de%20Marimon%2020%2C%20Barcelona%2C%2008021%2C%20Spain
Barcelona,Els Pescadors,,,Mediterranean restaurant,60,https://www.google.com/maps/search/?api=1&query=Els%20Pescadors%2C%20Pla%C3%A7a%20de%20Prim%201%2C%20Barcelona%2C%2008005%2C%20Spain
Barcelona,Espacio UMA,,,Restaurant,125,https://www.google.com/maps/search/?api=1&query=Espacio%20UMA%2C%20Carrer%20de%20Mallorca%20275%2C%20Barcelona%2C%2008008%2C%20Spain
Barcelona,Granja Elena,,,Restaurant,55,https://www.google.com/maps/search/?api=1&query=Granja%20Elena%2C%20Passeig%20de%20la%20Zona%20Franca%20228%2C%20Barcelona%2C%2008038%2C%20Spain
Barcelona,Gresca,,,Restaurant,50,https://www.google.com/maps/search/?api=1&query=Gresca%2C%20Carrer%20de%20Proven%C3%A7a%20230%2C%20Barcelona%2C%2008036%2C%20Spain
Barcelona,Jardín del Alma,,,Restaurant,40,https://www.google.com/maps/search/?api=1&query=Jard%C3%ADn%20del%20Alma%2C%20Carrer%20de%20Mallorca%20269%2C%20Barcelona%2C%2008008%2C%20Spain
Barcelona,Olivos Comida y Vinos,,,Restaurant,100,https://www.google.com/maps/search/?api=1&query=Olivos%20Comida%20y%20Vinos%2C%20Carrer%20de%20Galileu%20159%2C%20Barcelona%2C%20Spain
Barcelona,Petit Comité Gaig,,,Catalonian restaurant,70,https://www.google.com/maps/search/?api=1&query=Petit%20Comit%C3%A9%20Gaig%2C%20Passatge%20de%20la%20Concepci%C3%B3%2013%2C%20Barcelona%2C%2008008%2C%20Spain
Barcelona,Roig Robí,,,Restaurant,68,https://www.google.com/maps/search/?api=1&query=Roig%20Rob%C3%AD%2C%20Carrer%20de%20S%C3%A8neca%2020%2C%20Barcelona%2C%2008006%2C%20Spain
Barcelona,Sato i Tanaka,,,Japanese restaurant,50,https://www.google.com/maps/search/?api=1&query=Sato%20i%20Tanaka%2C%20Carrer%20del%20Bruc%2079%2C%20Barcelona%2C%2008009%2C%20Spain
Barcelona,Xemei,,,Venetian restaurant,45,https://www.google.com/maps/search/?api=1&query=Xemei%2C%20Passeig%20de%20l%27Exposici%C3%B3%2085%2C%20Barcelona%2C%2008004%2C%20Spain
Lisbon,Canalha,Bib Gourmand,Farm to table,Restaurant,35,https://www.google.com/maps/search/?api=1&query=Canalha%2C%20Rua%20da%20Junqueira%20207%2C%20Lisbon%2C%201300-338%2C%20Portugal
Lisbon,Carnal,Bib Gourmand,Mexican,Mexican restaurant,45,https://www.google.com/maps/search/?api=1&query=Carnal%2C%20Rua%20da%20Misericordia%2078%2C%20Lisbon%2C%201200%20273%2C%20Portugal
Lisbon,Ofício - Wine & Dining Room,Bib Gourmand,Traditional Cuisine,Restaurant,45,https://www.google.com/maps/search/?api=1&query=Of%C3%ADcio%20-%20Wine%20%26%20Dining%20Room%2C%20Rua%20Nova%20da%20Trindade%2011%2C%20Lisbon%2C%201200-301%2C%20Portugal
Lisbon,Pigmeu,Bib Gourmand,Portuguese,Restaurant,42,https://www.google.com/maps/search/?api=1&query=Pigmeu%2C%20Rua%20do%204%20De%20Infantaria%2068%2C%20Lisbon%2C%201350-274%2C%20Portugal
